ortho_rect_union_359,359,1050,503,145,"0.520952381",3
ortho_rect_union_370,370,1088,537,168,"0.5064338235",3
ortho_rect_union_386,386,1136,549,164,"0.5167253521",3
ortho_rect_union_390,390,1141,542,153,"0.5249780894",3
euro-night-0000400,400,1184,696,297,"0.4121621622",3
paris-0000400,400,1183,704,305,"0.4049027895",3
stars-0000400,400,1183,702,303,"0.4065934066",3
uniform-0000400-1,400,1179,710,311,"0.3977947413",3
uniform-0000400-2,400,1181,699,300,"0.4081287045",3
us-night-0000400,400,1180,699,300,"0.4076271186",3
euro-night-0000500,500,1480,873,374,"0.4101351351",3
paris-0000500,500,1486,884,385,"0.4051144011",3
stars-0000500,500,1480,879,380,"0.4060810811",3
uniform-0000500-1,500,1478,888,389,"0.399188092",3
uniform-0000500-2,500,1480,885,386,"0.402027027",3
us-night-0000500,500,1484,879,380,"0.4076819407",3
ortho_rect_union_533,533,1564,721,189,"0.5390025575",3
rop0000541,541,1427,639,99,"0.5522074282",2
rop0000548,548,1569,656,109,"0.5818992989",2
ortho_rect_union_576,576,1699,773,198,"0.5450264862",3
rop0000584,584,1704,693,110,"0.5933098592",2
euro-night-0000600,600,1783,1072,473,"0.3987661245",3
paris-0000600,600,1783,1047,448,"0.4127874369",3
stars-0000600,600,1779,1055,456,"0.406970208",3
uniform-0000600-1,600,1781,1062,463,"0.4037057833",3
uniform-0000600-2,600,1783,1052,453,"0.4099831744",3
us-night-0000600,600,1780,1067,468,"0.4005617978",3
ortho_rect_union_629,629,1860,836,208,"0.5505376344",3
rop0000665,665,1937,774,110,"0.6004130098",2
ortho_rect_union_676,676,1993,906,231,"0.5454089313",3
euro-night-0000700,700,2082,1220,521,"0.414024976",3
paris-0000700,700,2084,1223,524,"0.4131477927",3
stars-0000700,700,2080,1237,538,"0.4052884615",3
uniform-0000700-1,700,2080,1232,533,"0.4076923077",3
uniform-0000700-2,700,2079,1232,533,"0.4074074074",3
us-night-0000700,700,2085,1236,537,"0.4071942446",3
ortho_rect_union_713,713,2094,927,215,"0.5573065903",3
ortho_rect_union_754,754,2230,964,211,"0.5677130045",3
ortho_rect_union_796,796,2345,1037,242,"0.557782516",3
euro-night-0000800,800,2383,1413,614,"0.4070499371",3
paris-0000800,800,2384,1409,610,"0.4089765101",3
